,year,tournament,round,match_time,player1,player2,player1_set1,player2_set1,player1_set2,player2_set2,player1_set3,player2_set3
131,2017,CELCOM AXIATA Malaysia International Series 2017,QF,0:28,LOH Kean Yew,Henrikho KHO WIBOWO,21,18,21,14,,
132,2017,CELCOM AXIATA Malaysia International Series 2017,SF,0:51,TAN Jia Wei,LOH Kean Yew,10,21,21,18,14,21
133,2017,CELCOM AXIATA Malaysia International Series 2017,Final,0:33,CHEAM June Wei,LOH Kean Yew,19,21,14,21,,
134,2017,YONEX Open Chinese Taipei 2017,R64,0:55,CHI Yu Jen,LOH Kean Yew,15,21,21,18,21,17
135,2017,ROBOT Badminton Asia Mixed Team Championships 2017,,0:34,Sameer VERMA,LOH Kean Yew,21,9,21,16,,
136,2016,YONEX SUNRISE Vietnam Open GP 2016,R64,0:45,LOH Kean Yew,Pacharapol NIPORNRAM,21,14,27,25,,
137,2016,YONEX SUNRISE Vietnam Open GP 2016,R32,0:30,LOH Kean Yew,Muhammad Bayu PANGISTHU,21,10,21,18,,
138,2016,YONEX SUNRISE Vietnam Open GP 2016,R16,0:38,LOH Kean Yew,Siril VERMA,19,21,15,21,,
139,2016,Ciputra Hanoi - Yonex Sunrise Vietnam International Challenge 2016,R64,0:45,LOH Kean Yew,Shreyansh JAISWAL,21,17,16,21,21,14
140,2016,Ciputra Hanoi - Yonex Sunrise Vietnam International Challenge 2016,R32,0:35,LOH Kean Yew,HSUEH Hsuan Yi,21,15,21,18,,
141,2016,Ciputra Hanoi - Yonex Sunrise Vietnam International Challenge 2016,R16,0:50,Vega Vio NIRWANDA,LOH Kean Yew,21,10,12,21,21,14
142,2016,Smiling Fish International Challenge 2016,R64,0:36,C. Rohit Yadav,LOH Kean Yew,15,21,15,21,,
143,2016,Smiling Fish International Challenge 2016,R32,0:33,LEE Zii Jia,LOH Kean Yew,21,18,21,10,,
144,2016,Dong Feng Citroen Badminton Asia Championships 2016,R1,0:20,LOH Kean Yew,Pang Fong PUI,21,10,21,8,,
145,2016,Dong Feng Citroen Badminton Asia Championships 2016,R3,0:25,LOH Kean Yew,Artyom SAVATYUGIN,21,14,21,11,,
146,2016,Dong Feng Citroen Badminton Asia Championships 2016,R32,0:37,LOH Kean Yew,Tien Minh NGUYEN,17,21,14,21,,
147,2016,Bonny China Masters,R64,0:34,LIN Gui Pu,LOH Kean Yew,21,19,21,9,,
148,2016,OUE Singapore Open,Qual. R16,0:38,Sony Dwi KUNCORO,LOH Kean Yew,21,18,21,16,,
149,2016,Happening Hyderabad Badminton Asia Team Championships 2016,,0:40,WANG Zhengming,LOH Kean Yew,15,21,16,21,,
150,2016,Happening Hyderabad Badminton Asia Team Championships 2016,,0:29,Ajay JAYARAM,LOH Kean Yew,21,11,21,18,,
151,2016,Princess Sirivannavari Thailand Masters 2016,R64,0:32,LOH Kean Yew,Sameer VERMA,19,21,13,21,,
152,2015,Yonex Sunrise Indonesian Masters 2015,R64,0:45,LOH Kean Yew,Shesar Hiren RHUSTAVITO,21,17,15,21,21,19
153,2015,Yonex Sunrise Indonesian Masters 2015,R32,0:59,LOH Kean Yew,GURUSAIDUTT R. M. V.,19,21,21,19,15,21
154,2015,BWF World Junior Championships 2015,R128,0:27,Ansal YADAV,LOH Kean Yew,17,21,11,21,,
155,2015,BWF World Junior Championships 2015,R64,0:24,Bence PYTEL,LOH Kean Yew,16,21,10,21,,
156,2015,BWF World Junior Championships 2015,R32,0:50,Chia Hao LEE,LOH Kean Yew,14,21,21,13,14,21
157,2015,BWF World Junior Championships 2015,R16,0:53,LOH Kean Yew,Kantawat LEELAVECHABUTR,22,24,21,10,21,17
158,2015,BWF World Junior Championships 2015,QF,0:41,LOH Kean Yew,Koki WATANABE,22,24,17,21,,
159,2015,World Junior Mixed Team Championships 2015,,0:21,LOH Kean Yew,James ELLAWAY,21,12,21,8,,
160,2015,World Junior Mixed Team Championships 2015,,0:16,LOH Kean Yew,Diego CASTILLO,21,5,21,11,,
161,2015,World Junior Mixed Team Championships 2015,,0:34,Firman Abdul KHOLIK,LOH Kean Yew,21,10,21,14,,
162,2015,World Junior Mixed Team Championships 2015,,0:21,LOH Kean Yew,Manuel BREA FILLOY,21,9,21,14,,
163,2015,World Junior Mixed Team Championships 2015,,0:22,Felix HAMMES,LOH Kean Yew,12,21,12,21,,
164,2015,Chinese Taipei Grand Prix,R64,0:21,Chi Yu LO,LOH Kean Yew,15,21,5,21,,
165,2015,Chinese Taipei Grand Prix,R32,1:00,LOH Kean Yew,Firman Abdul KHOLIK,17,21,21,14,21,15
166,2015,Chinese Taipei Grand Prix,R16,0:31,LOH Kean Yew,KUO Ching-Hung,21,11,21,15,,
167,2015,Chinese Taipei Grand Prix,QF,0:53,WANG Tzu Wei,LOH Kean Yew,21,13,17,21,21,13
168,2015,Kawasaki - Tran Local Foods Vietnam International Series 2015,R64,0:00,LOH Kean Yew,Walkover/Bye,BYE  ,BYE  ,,,,
169,2015,Kawasaki - Tran Local Foods Vietnam International Series 2015,R32,0:21,Yong Hen SIM,LOH Kean Yew,13,21,13,21,,
170,2015,Kawasaki - Tran Local Foods Vietnam International Series 2015,R16,0:40,Redy PERDANA,LOH Kean Yew,21,17,21,14,,
171,2015,Victor Indonesia International Challenge 2015,R64,0:20,LOH Kean Yew,Krishna Kumar S,21,10,21,13,,
172,2015,Victor Indonesia International Challenge 2015,R32,0:45,LOH Kean Yew,Enzi SHAFIRA,21,18,21,17,,
173,2015,Victor Indonesia International Challenge 2015,R16,0:33,Sony Dwi KUNCORO,LOH Kean Yew,21,11,21,14,,
174,2015,OUE Singapore International Series 2015,R64,0:30,LOH Kean Yew,CHONG Yee Han,21,15,21,18,,
175,2015,OUE Singapore International Series 2015,R32,0:55,LOH Kean Yew,Redy PERDANA,21,7,20,22,15,21
176,2015,Yonex Open Chinese Taipei,R64,0:57,LOH Kean Yew,LIN Yu Hsien,12,21,21,17,18,21
